#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,pod
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:13Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:15Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:16Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:18Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:19Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:21Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:22Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:24Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:25Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:26Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:28Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:29Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:31Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:32Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:33Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:35Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:09:36Z,77,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
