,米ドル,英ポンド,ユーロ,カナダドル,スイスフラン,スウェーデンクローネ,デンマーククローネ,ノルウェークローネ,オーストラリアドル,ニュージーランドドル,南アフリカランド,バーレーンディナール,インドネシアルピア,中国人民元,香港ドル,インドルピー,マレーシアリンギ,フィリピンペソ,シンガポールドル,韓国ウォン,タイバーツ,クウェートディナール,サウジアラビアリアル,UAEディルハム,メキシコペソ,パプアニューギニアキナ,ハンガリーフォリント,チェココロナ,ポーランドズロチ,ロシアルーブル,トルコリラ,,インドネシアルピア,中国人民元,マレーシアリンギ,韓国ウォン,台湾ドル
,USD,GBP,EUR,CAD,CHF,SEK,DKK,NOK,AUD,NZD,ZAR,BHD,IDR(100),CNY,HKD,INR,MYR,PHP,SGD,KRW(100),THB,KWD,SAR,AED,MXN,PGK,HUF,CZK,PLN,RUB,TRY,,IDR(100),CNY,MYR,KRW(100),TWD
2022/3/1,115.28,154.73,129.26,90.95,125.58,12.18,17.38,13.11,83.64,77.96,7.49,305.78,*****,18.27,14.76,1.53,*****,2.25,85.01,*****,3.53,380.96,30.73,31.39,5.62,33.72,0.35,5.14,27.46,1.04,8.5,,0.8,*****,27.5,9.6,4.12
2022/3/2,115.02,153.31,127.96,90.34,125.16,11.92,17.21,12.98,83.54,77.78,7.48,305.09,*****,18.2,14.72,1.53,*****,2.24,84.72,*****,3.51,379.23,30.66,31.32,5.58,33.64,0.34,5.04,26.96,1.07,8.27,,0.8,*****,27.42,9.54,4.1
2022/3/3,115.63,154.76,128.38,91.44,125.53,11.93,17.26,13.05,84.25,78.35,7.54,306.79,*****,18.29,14.8,1.53,*****,2.25,85.28,*****,3.57,381.87,30.82,31.49,5.6,33.71,0.34,5.03,27.0,1.18,8.24,,0.8,*****,27.6,9.61,4.13
2022/3/4,115.42,153.79,127.12,90.83,125.57,11.78,17.09,12.89,84.34,78.22,7.56,306.15,*****,18.25,14.76,1.52,*****,2.24,84.89,*****,3.53,380.3,30.77,31.43,5.57,33.76,0.33,4.93,26.29,1.03,8.17,,0.8,*****,27.56,9.52,4.11
2022/3/7,115.02,151.93,125.02,90.31,125.02,11.57,16.8,12.79,85.02,79.25,7.49,305.09,*****,18.18,14.72,1.51,*****,2.22,84.37,*****,3.52,379.48,30.66,31.32,5.48,33.24,0.32,4.86,25.33,1.02,8.01,,0.8,*****,27.54,9.4,4.09
2022/3/8,115.49,151.36,125.28,90.12,124.71,11.56,16.84,12.74,84.6,78.93,7.52,306.34,*****,18.26,14.77,1.5,*****,2.21,84.68,*****,3.5,380.53,30.78,31.45,5.42,33.78,0.32,4.87,25.21,0.95,8.02,,0.8,*****,27.62,9.35,4.08
2022/3/9,115.89,151.93,126.41,90.01,124.65,11.67,16.98,12.91,84.34,78.98,7.58,307.4,*****,18.33,14.82,1.51,*****,2.22,84.94,*****,3.49,381.85,30.89,31.56,5.43,33.9,0.33,4.95,25.9,0.95,7.98,,0.81,*****,27.7,9.39,4.09
2022/3/10,116.01,152.85,128.26,90.55,125.06,11.97,17.23,13.0,84.8,79.26,7.71,307.72,*****,18.36,14.84,1.52,*****,2.23,85.35,*****,3.52,382.49,30.93,31.59,5.55,33.93,0.34,5.09,26.92,0.81,7.91,,0.81,*****,27.73,9.45,4.09
2022/3/11,116.32,152.29,127.99,91.11,125.08,12.01,17.2,13.02,85.5,79.84,7.73,308.54,*****,18.39,14.87,1.53,*****,2.23,85.6,*****,3.51,382.63,31.01,31.67,5.56,34.02,0.34,5.1,26.81,0.88,7.86,,0.81,*****,27.78,9.45,4.1
